SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000090	6.22149402398798	6.23438511274507	6.21036167680755	5.99961999689728	6.00524815499564	6.31295064425429	6.15594399090645	6.52528545622665	6.25746387916756	6.13669077762347
ENSMMUG00000000098	3.61035751745682	3.95843379488011	4.22445944268251	3.9629649669678	3.9643589434567	3.65254656306578	4.25764193451551	3.70381092512818	4.04712315440075	4.04796459063943
ENSMMUG00000000100	7.54027531723825	7.68892989399803	7.720561619382	7.62486299401841	7.82292911971955	7.40714486504834	7.54201615505883	7.09669369768636	7.68811146269954	8.17193380501097
ENSMMUG00000000104	4.99954071507182	4.78921450222537	4.549331943553	5.12075898525301	4.66266689366065	4.79575926105776	4.62833971731937	4.44283596020898	4.98930020614958	5.11699039066486
ENSMMUG00000000107	1.8603508071125	1.74352721899972	1.23218624658712	1.62419156078653	1.92510062442873	1.5222819460517	2.02516226021205	1.66820420591042	1.61110102033551	1.94053459785126
ENSMMUG00000000108	0.986947407782278	1.63751164028195	0.887997417330595	1.50308544124972	0.9933198144989	1.98859011257775	1.27985697115702	1.11434692783731	1.40325737867174	1.4920916595245
ENSMMUG00000000110	7.22483064549844	7.24515174165678	7.28708056317711	7.53682585214299	7.03199900106475	7.0102953103037	7.11528997432436	6.66361532573084	7.28803226636999	7.17504196787991
ENSMMUG00000000111	6.72127547473046	6.59306422485879	6.66826490853802	6.51856128836604	6.41856374348054	6.44219378871268	6.51353990929232	6.6154888147413	6.55998465548004	6.48545730001404
ENSMMUG00000000113	6.57154985839522	6.63880179344553	6.36429812859673	6.45482115843455	6.33475169617585	6.32805805968238	6.29163201181029	6.18863348652675	6.86404763379953	6.75227429550605
ENSMMUG00000000117	-0.0439314938557125	-1.38689331722868	-0.278450733014065	0.573907025293558	0.0670415265771567	0.180140073086115	0.111943664242883	0.622719153710356	0.175426974769742	0.223137855552483
ENSMMUG00000000118	2.74089652195408	2.65077848300535	2.63033463051685	2.55071419107136	2.54666509981428	2.19498493454662	2.37203724638616	2.75852369893057	2.47226947440053	2.33054107758054
ENSMMUG00000000121	-0.413783777827383	-0.498880110962748	-0.227314791016351	0.649773315518175	-0.274315769776404	-0.4045871976593	-0.490260200360389	-0.779926560306844	0.0969844215343372	0.478336523326103
ENSMMUG00000000122	3.522589876792	2.85936179493541	2.75550040428155	3.17041197010059	3.20897480942095	3.25690214194054	2.98974779844808	2.69932003217591	3.39681640966153	2.10360058081433
ENSMMUG00000000123	2.74051532785179	2.61141599352481	3.16436479853627	2.33650816483695	2.69060992970854	2.44212421018914	2.8102721076324	2.48397023041473	2.32489698224338	2.58806514600287
ENSMMUG00000000124	5.02613437812862	5.33939902682253	5.02300130485452	5.15303044830047	5.26278708283951	5.24079274360343	4.90880825882496	5.2017911463444	4.97199967317733	4.77545230817492
ENSMMUG00000000125	3.35740896300358	3.30689380559599	3.4633114037853	2.50947380334877	3.01250820905906	2.98777234998169	3.67767858460202	3.70144223948703	3.01502465041578	2.71048077466339
ENSMMUG00000000130	5.37511381025891	5.724571239344	5.76864010837404	5.04032205505382	4.94853047054644	5.14288645076217	5.333680732959	5.76395795559575	4.86411183233003	4.75332932288674
ENSMMUG00000000134	8.27900345964436	7.90979499827793	7.66126483284881	7.69953357588414	8.18260229252792	8.1446837508271	7.94705167931514	7.80731872892357	7.95402700570169	7.79149904557028
ENSMMUG00000000135	5.17611340392073	5.15066679854607	5.21618783440225	4.96252063804858	5.38509558930406	4.98459916924282	5.14729299603969	5.36453440845153	5.2682109418361	5.04763911053985
ENSMMUG00000000136	2.86332616708719	3.1819574127225	2.2841562476664	2.89425520111671	3.11001231060481	2.57000898839541	2.95598074539085	2.47286120565643	2.44536316250036	3.11956443514649
ENSMMUG00000000137	11.3523572964957	11.5681105734146	11.2355524350514	11.3166662022312	11.2635680645923	11.4742094312885	11.5683961116121	11.0304468540827	11.4983003117192	11.6003350809117
ENSMMUG00000000138	5.06630715220182	4.9929045432899	4.51112304592059	4.96236736785548	4.91898319354819	4.84609818817343	4.50118140020328	2.97874179104388	4.47810215745059	5.33351036197092
ENSMMUG00000000140	6.04980429503965	6.11876765095286	6.26148606284011	5.99672257795372	5.92802416046871	5.84214493622206	5.98183455944339	6.30954069265521	6.14160592284039	6.05647789043413
ENSMMUG00000000141	4.93772861058698	4.77869081526276	4.90604749698651	4.62772485456185	4.84564166152823	4.77848314019336	5.10281809309727	5.07674193758355	5.11330966150819	4.71030673113308
ENSMMUG00000000143	5.32013936208742	5.24037432599532	5.80074458081896	5.2639868057532	5.80663261533935	5.34549952765639	5.31964290583017	5.70616468725819	5.64507254882966	5.32981747335994
ENSMMUG00000000144	5.08466814752661	5.08665114572056	5.43115856117137	5.11340618753035	5.24253929548688	5.21386288685533	5.04089344655443	5.05642264045708	5.40696642478432	5.12770890130363
ENSMMUG00000000145	1.85556781716775	1.13449141877011	1.9045573389354	1.41660775433598	1.52585395776772	1.58377460566676	1.52618153995203	1.46726909021278	2.06885023523295	1.22339165164596
ENSMMUG00000000149	7.52673778677345	7.64758112760203	7.53322445457587	7.64943037276732	7.50771734389996	7.62047776596919	7.43318225220091	7.53086373765214	7.64810753004094	7.74070619633883
