SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000232	3.66773282571659	3.6488526719868	2.97737816892625	3.22403538442571	3.77742682732815	3.75238490204066	4.03991733303676	3.83992876276333	3.46137171528636	3.79570652192419
ENSMMUG00000000237	3.93804520560346	3.8121779437639	3.73298942073511	3.77042066271972	3.88208077516189	3.50655193867717	3.50953747705531	3.89422019663552	3.65145407492445	3.3912388237026
ENSMMUG00000000238	6.06564173356274	5.91051461172352	5.81838699042985	6.24006686292862	5.822689799793	5.90509238960558	5.81478124402487	5.77215599750555	5.91953993208261	6.25211811702572
ENSMMUG00000000242	5.20988653167081	5.08968022805876	4.95864549892971	4.73936952657794	5.25709790298721	5.08354558626394	5.45861610830318	5.89751913844064	5.46980016761119	5.40759402030454
ENSMMUG00000000245	-0.560394314869132	-1.65347825355186	-1.30050507862627	-1.11267492700856	-1.03478362820121	-1.21949518472605	-1.13788528945576	0.0302643259836159	-0.680938880232734	-0.958768852020196
ENSMMUG00000000246	6.30592766153797	6.4503534992666	6.56002477838285	5.89024057210126	6.62476326882073	6.0858320837808	6.52895713986949	6.4577754237818	6.1938288548309	6.24538985171949
ENSMMUG00000000249	9.04155483753687	9.34033833876819	9.24871073745822	9.18102196644389	9.65834142481112	9.52879387072981	9.55109461056199	9.44991389347332	9.49936631406602	9.2664064191214
ENSMMUG00000000250	5.00761292680156	5.83389538378148	5.28504036319887	6.09199760463014	5.47644348889024	6.2909036024844	5.91228467987431	5.38147257273253	5.21452682410395	5.36752226865141
ENSMMUG00000000252	5.76043321078379	5.44790865767407	5.64115072246726	5.08522349028339	5.48535501432115	5.17947964763968	5.36505876237858	5.48426821873237	5.27581425186226	5.11575978649031
ENSMMUG00000000256	3.8638393416851	3.2700954233309	1.72846126956548	3.59799761877014	3.14580726347913	4.11761774836446	1.9247152977018	3.765494032433	3.72390353392564	3.34310519643478
ENSMMUG00000000258	7.85322499722785	8.0640997455317	7.87491996476974	7.92870286167005	8.0327596160749	8.10116369780459	8.03731136072995	7.81439476127091	7.99714317032618	8.1000035679182
ENSMMUG00000000263	4.58554840520765	4.67956712852433	4.83469988483505	4.82629407609368	4.78696765244662	4.97184284970858	4.73025583623642	4.87983562489193	4.78769449863824	4.9834976067323
ENSMMUG00000000264	6.00371327998245	5.77979719032197	5.68347093771858	5.97022355872117	5.61774066669845	5.65000090931754	5.75459808487685	5.56265946299631	5.45981968779575	5.14525459214666
ENSMMUG00000000265	0.351052585179403	0.398285627435602	0.247750631430854	0.691673996469905	-0.0764861837960105	0.339422688125815	-0.0308229178019452	0.368309124603989	0.162952869569018	0.168235901731862
ENSMMUG00000000268	5.77004473885506	6.0393559653956	5.98428978836344	6.0310276606231	6.11074696656743	5.94011510869367	6.06355317837549	6.32573965806669	6.18807914625594	6.08157910359134
ENSMMUG00000000273	5.25328390626837	5.32696780018627	5.30217635847076	5.36000610515622	5.33900773220699	5.15840862235983	5.17549633292638	5.26225318427952	5.41502544217253	5.66789090445248
ENSMMUG00000000275	7.5738266981948	7.89496168521735	7.70440098424532	8.01114110091891	7.74691571574546	7.690507959102	7.69290854876451	7.80979295653386	7.6791944050955	7.32092950493518
