NAME	TITLE	SCORE	
NUAK1		1.8819519	
ETV7		1.8752108	
ELMOD1		1.8736773	
MARCKS		1.8729773	
TSN		1.8713185	
HTR1B		1.8691828	
VPS18		1.8689067	
DNAJA4		1.8683698	
DUSP16		1.8682933	
OS9		1.8671386	
DLX6		1.8668284	
VPS13B		1.8668153	
GPX7		1.8654594	
NOS2		1.8604579	
SARM1		1.8599482	
KCTD2		1.8574737	
GEMIN4		1.8536178	
PLA2G4A		1.8535163	
BLCAP		1.8528364	
LONRF2		1.8522099	
ANAPC13		1.851009	
TUBA8		1.8508949	
PDE10A		1.850172	
CARTPT		1.8497834	
CLSTN2		1.8450024	
SHISA2		1.840344	
RGS5		1.840116	
COG6		1.8390363	
TMEM177		1.8387752	
CNPPD1		1.8386593	
DGKG		1.8381603	
LRRC27		1.8355539	
SSR3		1.8354435	
LAD1		1.8334621	
MPHOSPH8		1.8306571	
GNL1		1.829752	
APOOL		1.8277076	
PHOSPHO2		1.8266568	
FGFRL1		1.8228495	
UGT8		1.8219517	
GABRB2		1.8215772	
CSGALNACT1		1.8211789	
ALKBH8		1.818543	
SH3BP1		1.8178275	
HOOK1		1.8166069	
SLC25A32		1.8164569	
UBXN10		1.8127315	
NKX3-1		1.8123729	
IMMP2L		1.8118559	
MICB		1.8113612	
SLITRK4		1.809868	
ABL2		1.8082911	
SMIM5		1.8067046	
SENP8		1.8058562	
IKZF2		1.8035679	
TBL1XR1		1.8023654	
INPP4B		1.8012472	
PRMT6		1.796006	
RC3H2		1.794842	
CHN2		1.7939095	
SAP30L		1.7906832	
DNAJC28		1.7871717	
RNF145		1.787168	
USP9X		1.7840058	
LGI3		1.7825651	
MRFAP1L1		1.7805616	
ZNF576		1.7752153	
ADA		1.773733	
TBC1D9		1.7733989	
RALB		1.7728256	
CRYBB3		1.7725923	
TRIM23		1.771302	
RSRC1		1.770475	
NSG1		1.7701687	
RHBDL3		1.768181	
CCDC91		1.767424	
NCDN		1.7660625	
PEBP1		1.764964	
INSM2		1.7648456	
NELL1		1.7644297	
COL9A2		1.7638911	
TSPYL1		1.7628355	
ZNF25		1.7617666	
LRRC8B		1.7585212	
CLDND1		1.7560437	
THAP11		1.7539059	
APC2		1.7531018	
WDR31		1.7488022	
CD53		1.7484137	
LHX6		1.7460728	
TPD52		1.7458168	
MMP16		1.7442518	
DIRAS1		1.7435054	
FXR2		1.7421651	
VPS4B		1.7409734	
DNM3		1.7351675	
PIGY		1.735007	
KCNS1		1.7339958	
IFT88		1.7339766	
ZNF277		1.7324792	
GREM2		1.7324353	
APH1B		1.7299094	
PIGS		1.7285554	
ZFAND1		1.7284541	
CYS1		1.7269739	
PLS3		1.726668	
PAK1		1.7265713	
ARHGAP20		1.7248083	
TRAPPC6B		1.7241749	
PIGV		1.7227875	
HLA-DOB		1.7222297	
FAHD1		1.7215383	
OPN1SW		1.7206475	
BCAT1		1.7202431	
EIF2B1		1.7201937	
FHL2		1.7188874	
ZNF414		1.7135906	
DACT2		1.7133985	
IRS2		1.7060308	
MID1IP1		1.7057952	
NHSL1		1.7034947	
ARHGEF16		1.7017603	
UBASH3B		1.7003099	
NT5C1A		1.6999054	
BMPER		1.6997225	
ATP8B4		1.6967924	
ZNF329		1.6953866	
AMN1		1.6949775	
RFC1		1.69214	
PSMD5		1.688718	
FXYD6		1.6877717	
TMEM121		1.6862352	
TRIM62		1.6861471	
QSOX1		1.6853678	
ZNF451		1.6845098	
ANLN		1.6839715	
ACBD3		1.6839478	
ACP6		1.6836492	
TBC1D15		1.6835786	
SLC10A4		1.6832216	
SLC4A10		1.6828817	
LRRC8D		1.6821308	
ZNF804B		1.6806835	
GTF2H5		1.6779563	
SLC17A5		1.6772343	
GFOD1		1.6758261	
PPM1L		1.675158	
GLI1		1.6739292	
FZD7		1.6734213	
SLC32A1		1.6728138	
LARS2		1.6703225	
LRRN4		1.6696966	
ARNT2		1.6695416	
THAP8		1.6680857	
NAP1L2		1.6676995	
TIMM17A		1.6656876	
ADAMTS2		1.6647894	
GABRA4		1.6633707	
YWHAQ		1.6628939	
NEGR1		1.6621971	
IPP		1.658183	
WNT16		1.658039	
KLHL26		1.6540492	
TRIM65		1.6532284	
NECAB1		1.6513795	
BCAS3		1.6499807	
BMP4		1.6497201	
GOSR1		1.6493014	
OXCT1		1.6472635	
SYT9		1.6472079	
VPS26B		1.6448894	
ATP6V1B2		1.6437156	
TSR2		1.6431026	
ZNF107		1.6430347	
CDS1		1.641908	
SCARB2		1.6409001	
PRPS1		1.6397402	
IMP4		1.6386337	
SHH		1.6381967	
THRB		1.6374859	
PANX1		1.634429	
C7orf25		1.6338283	
PCDH19		1.6338122	
DNM1		1.6312046	
ATP8A2		1.6309677	
NT5C1B		1.629049	
SMAP2		1.6282768	
NEK4		1.6271517	
EMX1		1.6270486	
KLF9		1.6250249	
NMD3		1.6246114	
SYTL1		1.623044	
FBXL14		1.62273	
ZNF280C		1.6214229	
CPNE2		1.6203938	
MIOS		1.6202316	
PTPN3		1.6187588	
GPRASP1		1.6177197	
DIAPH1		1.61544	
ADAM21		1.613891	
MAP4		1.6137573	
CLSTN1		1.613177	
PRNP		1.613135	
GAPDHS		1.6128802	
AQP11		1.6126552	
PIK3R4		1.6120429	
LEPROTL1		1.6119827	
GLOD4		1.6118168	
KBTBD7		1.6118112	
C6orf89		1.6107541	
GLP2R		1.6106383	
SDR39U1		1.6099985	
LRIG3		1.6096852	
VPS35		1.6095985	
PUS3		1.6091504	
PCDHB15		1.6078484	
ARF6		1.6074173	
ANKMY2		1.6060511	
CACNB4		1.6032567	
IPO11		1.60227	
DNAJC8		1.6020398	
PIP4K2A		1.6017872	
PATE2		1.6000123	
SLC2A13		1.5998334	
PREPL		1.5961051	
HADH		1.594933	
CXCR5		1.5937922	
KATNAL1		1.59303	
ADAMTS4		1.5912839	
PSAP		1.5903301	
KRT222		1.5894477	
MANSC1		1.5863389	
PAM		1.5852472	
MDH1B		1.5834007	
IKZF3		1.5831748	
DNAJC6		1.5816463	
ATG7		1.5806134	
CMYA5		1.5790645	
AMIGO1		1.5775772	
PIK3IP1		1.5750402	
NR2E3		1.574493	
STXBP6		1.571345	
CITED1		1.5706959	
ANXA4		1.570221	
MOB3B		1.568241	
GDPD2		1.5676379	
NPTX1		1.5657629	
ENO2		1.564352	
KCNJ3		1.5633953	
ADAP1		1.5614604	
GABPA		1.5611243	
DPH5		1.5608405	
NCOA2		1.560693	
AK5		1.5559865	
EML2		1.5551234	
RBP3		1.5546893	
DGKB		1.5537039	
PJA2		1.553503	
HERC6		1.5533332	
MCF2		1.5532942	
NKX1-2		1.5517035	
EPM2AIP1		1.5509855	
KCND2		1.548376	
CPM		1.5470122	
MGAT3		1.5465103	
CAP2		1.5456555	
HEMK2		1.5451372	
PAQR6		1.5447139	
CNRIP1		1.544231	
CHL1		1.5421503	
CDIPT		1.5411971	
ERLEC1		1.5395871	
RAB1B		1.5377845	
SLC25A21		1.535966	
WBP2		1.5357045	
MAD2L1		1.5352181	
TTBK2		1.5343755	
SLC12A5		1.5325481	
SEZ6L2		1.5322984	
PCDHB2		1.532213	
STXBP1		1.5313538	
C11orf71		1.531099	
PLCB4		1.5300657	
PCSK2		1.5300223	
ARSD		1.5297048	
MFSD1		1.5296215	
SPINT2		1.5288768	
RORB		1.5272	
KIAA0232		1.5267735	
KIF2A		1.5259088	
ACTR1B		1.5232035	
PPT1		1.5229884	
MAK16		1.5220546	
RDX		1.5204374	
AP3S2		1.5194768	
ZNF831		1.5177966	
TAF5L		1.5176423	
GLCE		1.5169137	
MFSD6		1.5160044	
DKK2		1.5149457	
ATP6V1C1		1.5143759	
RICTOR		1.5139467	
ZFP14		1.512019	
C15orf61		1.5118736	
UBL3		1.5103326	
TMED4		1.5082468	
WNT11		1.5062304	
POLK		1.5052216	
RPUSD4		1.5047454	
TPRG1L		1.5032911	
CBFB		1.5030947	
SEMA4D		1.5026071	
CXXC5		1.501191	
STK4		1.5011324	
NR2F6		1.5002972	
C3orf80		1.4978856	
JUP		1.4966031	
FLRT2		1.4960744	
SLC45A4		1.4960656	
SHROOM4		1.4959495	
ENTPD3		1.495649	
CRTAP		1.494978	
NOS1		1.4942558	
ELK4		1.4942127	
IL5		1.4941607	
C6		1.494026	
IMPACT		1.490846	
ANKRD53		1.489806	
ANKRD9		1.4891835	
RAB22A		1.4860055	
G3BP2		1.4848692	
CLDN12		1.4826105	
SYT4		1.4825186	
PIP5K1B		1.4790386	
CDKN1C		1.478532	
TICAM1		1.477182	
NXPH1		1.4764179	
TMEM62		1.4748235	
ZNF507		1.4745085	
SLC4A11		1.473404	
TBC1D13		1.4730979	
PIK3CB		1.4725978	
AGPAT1		1.4706366	
USP14		1.4699899	
API5		1.4693743	
BTG1		1.4692239	
NUDCD3		1.4690071	
LRRTM3		1.4688699	
CTTNBP2NL		1.4669273	
GDAP1		1.4667445	
TSNAX		1.4665605	
ERAP1		1.4653916	
MECR		1.464034	
VPS33A		1.463433	
ZC3H12B		1.4626456	
SCN2B		1.4620929	
PRR5L		1.4616884	
UBE2N		1.4614815	
PARM1		1.4607787	
PTPRK		1.460595	
BCAP29		1.4601763	
ISLR2		1.4587568	
EZH1		1.458624	
EIF4E3		1.4573398	
SLC38A1		1.4572798	
LPAR1		1.4571791	
PCYT1B		1.4570979	
DDX54		1.4546416	
DUSP5		1.4542356	
ZNF622		1.4538578	
CLPX		1.4528149	
ELAVL2		1.45099	
SCN2A		1.4493858	
RPL7L1		1.4485652	
VPS36		1.4479097	
TRIM35		1.447819	
PSD4		1.4456847	
ACSL3		1.4451097	
TRAPPC2		1.4445359	
NDFIP2		1.4433278	
FARSA		1.44323	
NPC1		1.4431592	
SIAH2		1.4427025	
CMTM5		1.442293	
ZFP82		1.4407284	
IP6K1		1.4396557	
SPATS1		1.4396427	
TMEM151A		1.4396281	
LRRC3		1.4384434	
CEP350		1.437944	
PNPLA5		1.437763	
RPRD1A		1.4375573	
ZNF594		1.4373571	
GPATCH3		1.4372399	
AAMP		1.4361069	
EXOC3		1.4353498	
FOXO3		1.4328048	
LANCL1		1.4322699	
MKRN2		1.4310238	
DDAH1		1.4305592	
FGF14		1.4301021	
CSDE1		1.4297099	
CERKL		1.4289647	
GID8		1.428409	
ZNF667		1.4271507	
STAC2		1.4270207	
SLK		1.4251453	
BRAP		1.4241619	
DTWD2		1.4238452	
AIG1		1.4234072	
TAPT1		1.4229527	
TNFRSF18		1.4227461	
SLC30A9		1.4218659	
GRWD1		1.4209784	
CXCL6		1.4200262	
SLC36A1		1.418917	
PTPN4		1.4187425	
ARHGEF17		1.418554	
MVK		1.4183494	
MNS1		1.4180199	
CDO1		1.4173596	
TTC3		1.4166889	
HSPA8		1.4163755	
C9orf85		1.4155421	
DLD		1.4153817	
MAN1B1		1.4152763	
NDFIP1		1.4144073	
PDCD10		1.4135551	
KANK4		1.4119357	
RAB14		1.4118698	
CEP97		1.4115416	
SLFN13		1.4113065	
MCTP1		1.4108651	
CEP112		1.4107605	
AQR		1.4099858	
FAT3		1.4099426	
CHGB		1.4098393	
CEP120		1.4068326	
SCOC		1.4063529	
ASB7		1.4057068	
RNF175		1.4051405	
WNK3		1.404593	
ANKRD34C		1.4040745	
ZNF502		1.4031578	
ZMYM1		1.4023161	
LGALS8		1.4004579	
SCD		1.3993337	
TBC1D30		1.3989253	
C11orf87		1.3975044	
COMMD5		1.3953698	
DLL3		1.394111	
ZNF213		1.3937018	
HLA-F		1.3924009	
UBLCP1		1.3912797	
TGFBRAP1		1.3904848	
COPS7A		1.3901129	
NEU1		1.3898692	
RAB3GAP1		1.3897471	
UBN1		1.389172	
MYO1E		1.3871559	
NBEA		1.3867706	
LRP12		1.3865815	
NAA30		1.3851553	
DCP2		1.3850896	
ARHGAP9		1.3850633	
IREB2		1.3847157	
TEX15		1.3840497	
ANKH		1.3839834	
PRKCA		1.3839653	
TFCP2		1.3825614	
BRI3		1.3819871	
IMPA1		1.3813331	
FUNDC1		1.3809463	
CBX7		1.3805208	
MOAP1		1.3794067	
DRC11		1.3792496	
LONP1		1.3785728	
KLHL4		1.3771815	
TRIP4		1.3771132	
ALKBH5		1.3761896	
BOD1		1.373429	
TMX4		1.3733177	
ANKRD40		1.3719543	
PPP1R1B		1.3712782	
TJAP1		1.3692571	
LGMN		1.3690937	
NEURL2		1.3683611	
FRAT1		1.3681686	
SHOC2		1.3675389	
GREB1L		1.3674865	
RHOG		1.3655113	
SERPINF2		1.3653662	
CCND3		1.3651446	
RCN2		1.3643836	
KCNB1		1.3631283	
ADAMTS15		1.3629632	
LSM4		1.3620695	
TBC1D19		1.3613207	
GRM5		1.3610727	
ARHGEF18		1.3610088	
ETS2		1.3598106	
FRMD4B		1.3594049	
ARAP3		1.3587137	
COMMD8		1.3566707	
RNF26		1.3561677	
C5orf22		1.3542811	
TOX		1.3541836	
ATG5		1.354177	
PPP1CA		1.3536557	
YWHAH		1.3528839	
ZBED1		1.3518676	
RSC1A1		1.3504605	
KCNJ2		1.3500472	
ZNF362		1.3495166	
TH		1.3494236	
DUSP4		1.348433	
SMYD5		1.3482882	
PTPRU		1.347054	
SDHC		1.3468913	
CCDC181		1.3463608	
KCNS3		1.3463128	
RAP2A		1.3461905	
FSTL4		1.3459506	
RCBTB1		1.3452387	
ZNF517		1.3448822	
ABHD10		1.344566	
DNAJC27		1.343699	
ERLIN2		1.3436881	
RNF208		1.343026	
KCNK10		1.3418459	
NTRK2		1.3414268	
SSX2IP		1.3410565	
WASL		1.3398443	
STAM2		1.338619	
TRIM66		1.3380544	
STX8		1.3380034	
YWHAB		1.3379092	
CDK14		1.3369893	
KLK8		1.3365002	
TCP11L2		1.3355833	
IL10RA		1.3341042	
SORD		1.3330442	
DOHH		1.3326842	
SET		1.3319814	
BCL7C		1.3316145	
MOXD1		1.331076	
MCCC2		1.331041	
CACNA1E		1.3305662	
UPRT		1.3297504	
MAP2K6		1.3289132	
MEF2D		1.3288392	
RAD54B		1.3285859	
RTN4		1.3277866	
ZFP37		1.3277141	
LRRC24		1.3276666	
CARD14		1.3274877	
PDF		1.3272294	
ITGB8		1.3254106	
PLRG1		1.3252769	
SYT1		1.3244437	
UNC5C		1.3237664	
ABCF2		1.3235105	
TOX4		1.321331	
PAIP2B		1.320627	
ABCE1		1.3204474	
APBB2		1.3204257	
ZNHIT2		1.3200505	
MAPK1		1.3195295	
KPNA6		1.3179032	
HTR1F		1.3169526	
GABBR1		1.3157321	
KDM2B		1.3143163	
RNF125		1.3140086	
PLXNA2		1.3137217	
SNX12		1.3134106	
GGA1		1.3131076	
CNOT7		1.3114992	
DNAJC5		1.3111558	
ATG3		1.3110579	
TOMM20		1.3102205	
BACH2		1.3095877	
GLS		1.309334	
MAOB		1.3082998	
PPARGC1A		1.3077403	
IL17RD		1.3076409	
RAP2C		1.3068845	
FNTB		1.3064837	
AGPAT3		1.3056121	
SLC35F1		1.3054646	
CPEB2		1.3053056	
KIDINS220		1.3049866	
ZMAT3		1.30423	
SRXN1		1.3023511	
MBNL1		1.3013576	
RBFOX2		1.3003668	
EXOC8		1.3003469	
ASTN1		1.2994087	
WWP1		1.2993481	
PCDHB10		1.2979431	
MFN2		1.2977496	
PRKCE		1.2975645	
TLE4		1.297529	
MYADML2		1.2959418	
RAB28		1.2953541	
SV2B		1.2941726	
PPP1CB		1.2921964	
TMEM132C		1.2916552	
PML		1.2906449	
ZFYVE9		1.2904097	
DTD2		1.2903382	
PAFAH1B1		1.2894865	
RGS9		1.2888128	
ALDH5A1		1.2875805	
SPATA7		1.2875385	
KLF12		1.2870533	
RAB32		1.2860489	
KCNJ9		1.2852626	
KCNC2		1.2851255	
GPRIN1		1.2849778	
RNF14		1.2848574	
PNMA1		1.2838964	
CDK1		1.2815244	
GNE		1.2803578	
HYOU1		1.2802677	
SCAF1		1.2789853	
CHP1		1.2789497	
CACYBP		1.2782712	
ZNF212		1.2779638	
MAP3K5		1.2777474	
HR		1.2773225	
ADCK2		1.2767078	
RASSF5		1.275912	
KCNA6		1.2755693	
RPN2		1.2732965	
EGR3		1.2727827	
XRCC5		1.272478	
EIF4E2		1.2719613	
SERINC1		1.2714132	
SPOCK2		1.2693018	
NAPA		1.2692235	
FBXO41		1.2691841	
FLRT3		1.2680509	
ZC3H12C		1.2678716	
C2CD2L		1.2673919	
SLC25A17		1.2665436	
RBM7		1.26579	
PGK1		1.2652861	
ZXDB		1.2648388	
KIF3B		1.2633226	
LONRF1		1.2622284	
AVPI1		1.2621607	
KRIT1		1.2611529	
HARBI1		1.2603037	
SLC4A8		1.2600414	
NPAS3		1.2595239	
FBXL5		1.2594328	
VAX2		1.2592751	
C2CD4C		1.2587854	
UBE2J1		1.2584732	
MRPL37		1.2577052	
RAB5A		1.2558819	
EXOG		1.2552752	
BCL3		1.2551945	
NDP		1.2535722	
GZF1		1.2529893	
ENPP6		1.2513064	
NAPG		1.250535	
PTGES3		1.2491742	
MRPL15		1.247809	
MIA3		1.2471598	
AMPH		1.2465614	
TBC1D5		1.2460713	
C17orf75		1.2451211	
FN3KRP		1.2444968	
ABLIM2		1.2430907	
WDR35		1.2425749	
NFIL3		1.2423099	
GAS2		1.2423012	
HNRNPM		1.2412807	
GLO1		1.2410294	
SECISBP2L		1.2408056	
EFS		1.2400331	
PEPD		1.2400284	
TMEM106B		1.239938	
MORN4		1.239917	
PEG3		1.2393172	
ARX		1.238825	
ZFYVE19		1.2387644	
AKAP11		1.2374831	
TMCC2		1.2371312	
DOCK4		1.2370929	
KIF5C		1.2369288	
TACR3		1.2367302	
LNPEP		1.2351738	
THUMPD1		1.2350672	
SFRP1		1.2340788	
PPP2R5E		1.2340522	
UCK2		1.2338606	
AFG3L2		1.2336545	
AQP8		1.2336172	
GCAT		1.2333109	
TCAIM		1.2330911	
RAB7A		1.2327758	
POLR2G		1.2321151	
PDE8A		1.2320477	
CTNS		1.2318618	
PLEK		1.2317078	
SNRPD3		1.2312148	
RAE1		1.2303511	
KCNS2		1.2287768	
TMEM184C		1.2286881	
CHRM3		1.2286515	
VAMP1		1.228583	
TBC1D14		1.2279807	
ANXA11		1.2268811	
PRSS16		1.2266346	
SORT1		1.2263405	
VTI1B		1.226333	
CX3CR1		1.2260673	
EXOC4		1.2257975	
TRPC5		1.2254211	
PTPRR		1.2252518	
CDK6		1.2235957	
AIP		1.2235192	
ZNF84		1.2233762	
PLXNC1		1.2231873	
TMEM170B		1.2227855	
ALDH18A1		1.2225418	
SCN1B		1.2210491	
SNN		1.2184904	
TMEM200C		1.2182227	
DCBLD1		1.218051	
PPP1R2		1.2173947	
OMG		1.2167938	
TBC1D17		1.2166796	
PCDH9		1.2153529	
MAST3		1.2151965	
ASPHD2		1.2150115	
HECW1		1.2131172	
SRI		1.2130978	
TMX1		1.2130499	
LIN7A		1.2129397	
FBXO31		1.212888	
SGK2		1.212751	
ITPR1		1.2119137	
MRPS27		1.2118337	
PRELID1		1.2116537	
PER1		1.2111312	
AGL		1.2104421	
SEC22B		1.2103715	
TRIM27		1.2100409	
AFF2		1.2083849	
PIF1		1.2066315	
SPHK2		1.2052422	
ARID2		1.2049804	
SYNJ1		1.204795	
ZNF708		1.203875	
GPR173		1.202579	
LTBP2		1.2017323	
AP1B1		1.2015896	
SPCS3		1.2001839	
CSPG4		1.2001556	
CALHM3		1.1993454	
ARMC1		1.1990082	
UTP23		1.1989335	
KITLG		1.1981583	
FTO		1.1979173	
GPR158		1.1979154	
FAM168B		1.1974117	
LETM1		1.1965655	
CCDC25		1.1965021	
PPP1R12C		1.19507	
PCDH8		1.194624	
CBLN4		1.1937276	
FILIP1		1.1936617	
GDA		1.1930016	
HMBS		1.1928097	
PTPRT		1.1922021	
ARL6IP5		1.191266	
RAPGEF5		1.1912426	
ETHE1		1.1911312	
NFKBIL1		1.1888391	
ZNF652		1.1884929	
TSPYL5		1.1883827	
FAM98A		1.1877829	
LNP1		1.1863858	
KCNAB1		1.1857204	
PDK4		1.1832078	
PLD1		1.1830912	
TMEM26		1.1830319	
ROCK2		1.1828046	
SLC9A6		1.1824788	
DDR2		1.1822289	
CNTN6		1.1807775	
GPR37		1.1798186	
PRDM4		1.1790018	
RET		1.1785924	
LHFPL4		1.1746311	
STRADA		1.174242	
TRIM32		1.1738605	
C10orf90		1.1731908	
ZBTB7C		1.1729039	
CCDC3		1.1725104	
RAB37		1.1725029	
NACC1		1.1722544	
TTC39A		1.1719797	
FHOD3		1.1709505	
SMUG1		1.170852	
MTMR9		1.1707219	
FOXO1		1.1706539	
EDEM2		1.1694325	
SIRT3		1.169324	
AGPAT2		1.1689852	
ZBTB25		1.1683798	
NR2C2		1.1678597	
CYB5RL		1.1674024	
RPTOR		1.1660212	
SH3KBP1		1.1659957	
SLC35E1		1.1658075	
SPOCK1		1.1657282	
SLC45A1		1.1656806	
DTWD1		1.1656547	
RRN3		1.1656182	
EVPL		1.1648912	
IFT57		1.1647477	
TGFA		1.1644285	
PPIF		1.1642879	
SLC9A1		1.1638007	
C9orf40		1.1636035	
JAGN1		1.163578	
MZT2A		1.1615978	
FGF1		1.1615504	
INHBB		1.1614176	
DYNC1LI2		1.161045	
SIDT1		1.160066	
AK4		1.1600242	
CCDC9		1.1599914	
CREB1		1.1598709	
FAM8A1		1.1589552	
ABCA2		1.1584847	
BEND6		1.1581112	
SMIM43		1.1565254	
NUP62		1.1564641	
PLEKHA3		1.1562251	
APOBEC2		1.155217	
ZFP91		1.1551689	
TXNL1		1.1545238	
DCTN1		1.1538947	
SHISA3		1.1538382	
CFL2		1.1538367	
GDI1		1.1536084	
LRRC49		1.1519364	
CDC27		1.1517146	
PDLIM3		1.151612	
PANK1		1.1513573	
SEC22A		1.1511382	
MN1		1.149312	
NR1H2		1.1487164	
ZNF490		1.1486429	
