Geneid	SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000265	31	28	27	39	18	26	26	26	26	21
ENSMMUG00000000266	0	2	0	5	3	3	0	0	2	4
ENSMMUG00000000268	2124	2170	2271	2341	2390	1805	2789	2461	2595	2007
ENSMMUG00000000270	14	5	2	4	4	5	1	0	9	5
ENSMMUG00000000271	8	11	6	18	10	24	15	6	4	21
ENSMMUG00000000273	1819	1604	1697	1843	1739	1309	1829	1454	1830	1871
ENSMMUG00000000275	4304	4441	4302	5288	4226	3454	4948	3992	4190	2739
ENSMMUG00000000276	472	434	863	521	425	319	887	605	608	240
ENSMMUG00000000277	934	828	910	865	942	696	1081	811	809	867
ENSMMUG00000000278	1300	873	832	1045	798	762	1076	924	1011	895
ENSMMUG00000000283	0	0	0	0	0	1	0	0	0	0
ENSMMUG00000000284	533	445	518	575	536	427	568	421	509	334
ENSMMUG00000000286	141	193	240	166	115	146	205	269	156	127
ENSMMUG00000000288	4	0	1	0	1	1	0	10	0	0
ENSMMUG00000000289	3704	3725	4579	2706	3245	2402	4830	3641	3936	2838
ENSMMUG00000000290	149	103	118	183	159	197	238	121	143	88
ENSMMUG00000000291	1129	1005	1207	956	1067	790	1203	878	1139	1121
ENSMMUG00000000292	237	235	218	239	170	307	404	182	339	204
ENSMMUG00000000293	1521	1505	1646	1286	2024	1122	2303	1549	1660	1284
ENSMMUG00000000296	2515	2358	2341	2353	1664	2363	3196	2372	2449	1425
ENSMMUG00000000297	41	65	45	46	50	29	56	43	37	34
ENSMMUG00000000300	154	75	138	90	92	88	119	55	117	166
ENSMMUG00000000302	96	87	92	91	93	44	97	72	67	61
ENSMMUG00000000306	1543	1177	1396	1427	1354	1255	1834	1351	1423	1184
ENSMMUG00000000307	400	273	302	285	337	307	355	250	341	221
ENSMMUG00000000308	52	42	43	40	59	35	44	52	36	38
ENSMMUG00000000311	0	2	0	4	4	0	3	1	1	0
ENSMMUG00000000312	5457	4111	4044	3767	4253	3499	4578	3426	4132	3859
ENSMMUG00000000313	87	54	53	95	60	84	70	55	72	74
ENSMMUG00000000314	612	348	476	466	330	307	524	425	440	412
ENSMMUG00000000315	415	353	402	258	285	206	356	264	339	240
ENSMMUG00000000316	86	111	88	96	95	55	116	35	66	55
ENSMMUG00000000318	3039	2497	2459	3718	2863	2957	2849	2069	2749	2857
ENSMMUG00000000319	1813	2032	2532	1914	1794	1282	1930	1965	1447	1355
ENSMMUG00000000320	111	92	111	166	73	69	104	53	81	97
ENSMMUG00000000321	2361	2099	2201	2030	2460	1894	2820	2222	2376	1927
ENSMMUG00000000322	1277	1031	1088	1198	1169	1001	1294	906	1314	1035
ENSMMUG00000000323	404	257	347	672	358	392	314	278	352	432
ENSMMUG00000000327	2887	2520	2570	2813	2549	1900	3556	1498	2541	2500
ENSMMUG00000000328	1697	1309	1620	1765	1344	1023	1424	967	1460	1402
ENSMMUG00000000329	7692	6305	7638	5327	6922	4929	9247	6246	6618	4606
ENSMMUG00000000330	2224	2140	2675	1408	2593	1801	2839	3424	2385	1748
ENSMMUG00000000332	92	44	96	63	42	39	37	29	46	44
ENSMMUG00000000335	20	33	33	37	50	37	16	34	66	25
ENSMMUG00000000336	460	339	390	321	438	438	403	409	403	295
ENSMMUG00000000337	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000338	175	138	174	268	169	173	223	295	313	276
ENSMMUG00000000340	262	191	256	231	192	183	282	245	214	172
ENSMMUG00000000342	17	23	21	7	6	14	8	12	7	11
ENSMMUG00000000343	1515	1016	1093	772	1283	548	1148	812	964	1024
ENSMMUG00000000345	172	113	103	94	153	104	176	139	131	113
ENSMMUG00000000346	5	6	6	1	6	1	6	4	3	2
ENSMMUG00000000350	2408	1860	1645	2412	1799	1762	2006	1643	1878	1862
ENSMMUG00000000352	38	19	31	54	36	28	36	8	39	38
ENSMMUG00000000353	13	11	3	11	17	9	20	9	23	14
ENSMMUG00000000357	62	69	76	62	69	58	81	52	93	53
ENSMMUG00000000358	2309	2092	2822	1888	1914	1556	2580	2097	1937	1457
ENSMMUG00000000359	48	34	22	34	44	37	41	29	41	40
ENSMMUG00000000362	117	103	92	114	118	85	111	78	102	101
ENSMMUG00000000364	579	428	466	525	589	557	693	484	529	473
ENSMMUG00000000366	181	110	169	126	125	113	184	191	177	135
ENSMMUG00000000368	103	56	54	83	72	76	39	70	80	55
ENSMMUG00000000373	1219	1075	1383	1690	966	1096	1645	2551	1732	1061
ENSMMUG00000000375	0	0	0	0	2	1	0	0	0	2
ENSMMUG00000000376	7665	6073	7308	7630	6500	5704	8333	5226	7234	6403
ENSMMUG00000000377	314	212	295	456	625	194	384	318	390	428
ENSMMUG00000000378	85	105	97	83	41	101	113	105	68	58
ENSMMUG00000000379	131	56	82	115	66	69	89	75	68	83
ENSMMUG00000000380	991	886	1131	725	975	662	1133	832	951	488
ENSMMUG00000000381	162	65	101	69	46	87	102	88	78	63
ENSMMUG00000000382	141	130	127	131	111	108	164	105	111	74
ENSMMUG00000000383	361	278	312	308	239	175	296	275	248	193
ENSMMUG00000000386	522	298	409	321	453	335	424	349	401	290
ENSMMUG00000000387	151	120	145	137	99	129	201	122	141	90
ENSMMUG00000000388	15019	12692	16632	21234	14576	11366	14187	12867	13122	13195
ENSMMUG00000000389	1382	1099	1300	1226	1094	885	1536	874	1127	1252
ENSMMUG00000000390	883	589	673	793	725	631	763	715	715	595
ENSMMUG00000000391	3234	2640	3175	3357	3823	2744	3525	3004	2567	2556
ENSMMUG00000000392	0	21	5	7	10	9	6	4	4	9
ENSMMUG00000000396	326	283	253	293	280	263	378	286	291	203
ENSMMUG00000000397	401	279	273	555	290	306	268	230	315	328
ENSMMUG00000000398	323	492	506	269	343	247	498	391	352	345
ENSMMUG00000000399	1154	901	1024	678	872	737	1304	1019	783	642
ENSMMUG00000000400	258	197	191	198	254	205	213	218	222	186
ENSMMUG00000000401	1266	921	993	1483	911	925	1075	686	946	941
ENSMMUG00000000402	26	14	18	15	7	14	20	10	27	6
ENSMMUG00000000404	18	43	36	32	41	19	7	23	25	21
ENSMMUG00000000406	2	0	4	2	3	4	0	2	1	5
ENSMMUG00000000411	1477	1287	1199	1447	1131	1143	1660	1150	1403	1309
ENSMMUG00000000413	48	76	46	71	62	53	65	61	63	58
ENSMMUG00000000415	907	916	937	748	612	448	1286	930	769	664
ENSMMUG00000000416	0	0	0	0	2	0	0	0	0	0
ENSMMUG00000000419	832	562	1006	605	584	347	912	939	586	490
ENSMMUG00000000421	1428	1065	1085	1005	930	967	1418	1094	1100	1014
ENSMMUG00000000422	1234	1034	1113	1567	1103	1223	1046	1003	1353	931
ENSMMUG00000000424	1188	958	1105	761	861	679	1232	1180	936	689
ENSMMUG00000000425	751	744	746	597	705	615	872	781	635	588
ENSMMUG00000000427	387	386	314	343	389	291	418	302	442	354
ENSMMUG00000000428	1303	936	1377	805	1000	1007	1781	1496	1054	591
ENSMMUG00000000429	132	177	210	156	142	122	213	95	160	65
ENSMMUG00000000431	38	12	16	34	12	31	5	25	10	3
ENSMMUG00000000433	346	291	344	285	235	181	377	326	279	261
ENSMMUG00000000434	1060	1090	1101	1402	1088	1387	1240	1134	1400	1263
ENSMMUG00000000438	47	21	21	64	38	18	43	24	36	43
ENSMMUG00000000439	2	1	1	1	8	2	4	1	8	6
ENSMMUG00000000443	31	13	25	19	33	23	22	6	32	22
ENSMMUG00000000446	400	345	327	287	335	301	498	371	384	283
ENSMMUG00000000448	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000449	106	51	160	152	89	67	105	71	78	21
ENSMMUG00000000450	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000451	2508	2561	2397	2387	2323	2053	2704	1652	2553	2098
ENSMMUG00000000452	238	262	245	305	313	305	316	141	283	288
ENSMMUG00000000453	2957	2644	2995	3433	2338	2553	2626	2133	2430	2571
ENSMMUG00000000454	110	110	72	119	99	100	148	80	127	112
ENSMMUG00000000455	1243	1035	1163	1216	994	931	1176	957	984	884
ENSMMUG00000000456	4562	4231	4188	4144	4030	3623	4942	3623	4461	4349
ENSMMUG00000000457	529	338	379	436	551	394	507	525	489	359
ENSMMUG00000000458	26	40	25	39	20	10	24	32	40	28
ENSMMUG00000000459	880	676	780	587	746	611	760	594	743	505
ENSMMUG00000000460	0	0	2	1	3	0	0	1	1	1
ENSMMUG00000000464	386	362	283	294	292	283	317	321	303	300
ENSMMUG00000000465	1534	1908	1884	1793	1432	1711	1881	1196	1301	1555
ENSMMUG00000000466	19	19	34	19	17	14	43	18	22	10
ENSMMUG00000000468	1	1	0	0	0	0	0	0	0	1
ENSMMUG00000000469	2	3	7	7	8	0	5	1	8	3
ENSMMUG00000000470	2	0	0	0	0	0	0	0	1	2
ENSMMUG00000000476	26	19	9	43	25	26	43	16	25	27
ENSMMUG00000000477	1223	1156	1076	1632	777	1427	1436	827	1273	895
ENSMMUG00000000478	6105	5847	5753	5505	5890	5085	7761	4991	6037	4740
ENSMMUG00000000480	790	556	463	545	516	454	738	452	563	467
ENSMMUG00000000481	900	514	497	901	637	473	721	749	652	560
ENSMMUG00000000482	541	598	724	478	477	411	686	592	575	428
ENSMMUG00000000485	3160	3040	3305	4549	3670	2796	3012	2377	3015	2932
ENSMMUG00000000488	4	0	7	2	3	0	0	0	3	3
ENSMMUG00000000490	66	62	61	38	53	54	69	40	53	38
ENSMMUG00000000491	82	59	38	59	83	74	58	75	99	40
ENSMMUG00000000494	251	132	149	309	200	123	126	96	194	124
ENSMMUG00000000495	58	31	44	42	37	33	50	33	44	36
ENSMMUG00000000496	244	138	154	142	186	134	182	121	146	138
